point_id,kind,tmfc,hf,var,value
sahara,temp,2026071300,18,t2m,308.45
sahara,temp,2026071300,18,tcld,0.0
sahara,temp,2026072900,0,t2m,297.97
sahara,temp,2026072900,0,tcld,0.0
sahara,temp,2026072900,6,t2m,296.26
sahara,temp,2026072900,6,tcld,0.0
sahara,temp,2026072900,12,t2m,309.05
sahara,temp,2026072900,12,tcld,0.0
sahara,temp,2026072900,18,t2m,307.12
sahara,temp,2026072900,18,tcld,0.0
sahara,temp,2026081400,0,t2m,301.36
sahara,temp,2026081400,0,tcld,0.77
sahara,temp,2026081400,6,t2m,299.19
sahara,temp,2026081400,6,tcld,0.58
sahara,temp,2026081400,12,t2m,310.23
sahara,temp,2026081400,12,tcld,0.0
sahara,temp,2026081400,18,t2m,308.74
sahara,temp,2026081400,18,tcld,0.63
sahara,sun,2026021700,11,dswrsfc,882.935
sahara,sun,2026021700,11,rss,598.159
sahara,sun,2026021700,0,ps,90991.2
sahara,sun,2026030500,11,dswrsfc,920.118
sahara,sun,2026030500,11,rss,622.166
sahara,sun,2026030500,0,ps,90619.1
sahara,sun,2026032100,11,dswrsfc,947.567
sahara,sun,2026032100,11,rss,642.636
sahara,sun,2026032100,0,ps,90134.3
antarctica,temp,2026021700,0,t2m,236.001
antarctica,temp,2026021700,0,tcld,0.999996
antarctica,temp,2026021700,6,t2m,239.186
antarctica,temp,2026021700,6,tcld,0.999997
antarctica,temp,2026021700,12,t2m,248.507
antarctica,temp,2026021700,12,tcld,1.0
antarctica,temp,2026021700,18,t2m,246.367
antarctica,temp,2026021700,18,tcld,0.999102
antarctica,temp,2026030500,0,t2m,240.548
antarctica,temp,2026030500,0,tcld,1.0
antarctica,temp,2026030500,6,t2m,247.382
antarctica,temp,2026030500,6,tcld,1.0
antarctica,temp,2026030500,12,t2m,251.296
antarctica,temp,2026030500,12,tcld,0.98919
antarctica,temp,2026030500,18,t2m,248.054
antarctica,temp,2026030500,18,tcld,1.0
antarctica,temp,2026032100,0,t2m,231.077
antarctica,temp,2026032100,0,tcld,1.0
antarctica,temp,2026032100,6,t2m,232.488
antarctica,temp,2026032100,6,tcld,1.0
antarctica,temp,2026032100,12,t2m,240.131
antarctica,temp,2026032100,12,tcld,1.0
antarctica,temp,2026032100,18,t2m,243.531
antarctica,temp,2026032100,18,tcld,1.0
antarctica,temp,2026040700,0,t2m,226.274
antarctica,temp,2026040700,0,tcld,1.0
antarctica,temp,2026040700,6,t2m,226.153
