tmfc,lat,lon,t2m,psl
2026031600,-65.4372,43.6317,270.703,97702.7
2026031600,-37.5112,-114.6647,293.562,102747.0
2026032000,-86.2688,-33.5118,235.391,98372.4
2026032000,-64.6126,42.0139,273.741,97694.0
2026032000,-54.0322,-5.2539,275.138,99556.8
2026032000,5.1246,52.1926,301.136,100827.0
2026032000,13.2765,41.4556,302.47,100531.0
2026032000,-5.5405,85.1267,301.074,100897.0
2026032000,-58.5763,-136.9324,277.164,101673.0
2026032000,-24.1594,-4.302,296.898,101730.0
2026032000,-18.1106,117.4825,301.517,100901.0
2026032000,-16.6171,-112.267,298.228,101450.0
2026032000,28.0551,19.3057,287.114,101196.0
2026032000,44.1569,135.0991,269.224,100966.0
2026032000,5.8506,-122.1354,300.005,100952.0
2026032000,-33.0951,41.8577,297.023,101608.0
2026032000,-59.3714,48.3341,275.124,99371.9
2026032000,-27.96,-141.9073,295.278,101471.0
2026032000,-15.959,153.1564,300.828,100857.0
2026032000,-22.033,78.5401,298.477,101519.0
2026032000,-31.4523,-53.7227,296.239,100922.0
2026032000,-18.6762,-118.4332,299.131,101555.0
2026032000,50.7558,105.1937,266.899,101608.0
2026032000,31.9164,-35.7934,290.732,101737.0
2026032000,-48.2179,36.1501,279.282,101793.0
2026032000,7.8201,-81.1665,298.199,101074.0
2026032000,45.8533,-74.4682,272.757,101743.0
2026032000,16.1661,-155.5425,299.289,101048.0
2026032000,-50.292,-48.3178,283.72,101083.0
2026032000,28.27,-67.9019,296.365,101374.0
2026032000,-65.4372,43.6317,273.258,97578.4
2026032000,-37.5112,-114.6647,294.628,102763.0
2026032300,-86.2688,-33.5118,229.138,98427.6
2026032300,-64.6126,42.0139,271.629,97177.4
2026032300,-54.0322,-5.2539,274.899,101250.0
2026032300,5.1246,52.1926,301.796,100939.0
2026032300,13.2765,41.4556,300.139,100809.0
2026032300,-5.5405,85.1267,301.235,100886.0
2026032300,-58.5763,-136.9324,277.142,102319.0
2026032300,-24.1594,-4.302,296.116,101775.0
2026032300,-18.1106,117.4825,302.025,100729.0
2026032300,-16.6171,-112.267,298.416,101263.0
2026032300,28.0551,19.3057,290.173,100729.0
2026032300,44.1569,135.0991,275.172,101627.0
2026032300,5.8506,-122.1354,300.174,100791.0
2026032300,-33.0951,41.8577,297.455,101572.0
2026032300,-59.3714,48.3341,274.531,97998.1
2026032300,-27.96,-141.9073,296.044,101557.0
2026032300,-15.959,153.1564,300.547,100803.0
2026032300,-22.033,78.5401,297.913,101768.0
2026032300,-31.4523,-53.7227,294.798,101177.0
2026032300,-18.6762,-118.4332,298.981,101326.0
2026032300,50.7558,105.1937,269.501,100756.0
2026032300,31.9164,-35.7934,291.415,102235.0
2026032300,-48.2179,36.1501,279.391,100859.0
2026032300,7.8201,-81.1665,300.867,100928.0
2026032300,45.8533,-74.4682,269.086,101454.0
2026032300,16.1661,-155.5425,299.32,101160.0
2026032300,-50.292,-48.3178,282.523,97929.7
2026032300,28.27,-67.9019,294.485,101924.0
2026032300,-65.4372,43.6317,271.689,97027.4
